"Pycnogonum","rhinoceros","Pycnogonum2.jpg","Pycnogonum rhinoceros ","Dorsal","BAS","None","Ryder Bay (WAP)","*","Tomas Munilla","*","*","*","*","*","*",,,,,,
"Rhincalanus","sp.","Rhincalanus1.jpg","Rhincalanus sp.","None","Unknown","None","Unknown","*","Unknown","*","*","*","*","*","*",,,,,,
"Rhincalanus","sp.","Rhincalanus2.jp","Rhincalanus sp.","None","Unknown","None","Unknown","*","Unknown","*","*","*","*","*","*",,,,,,
"Septemoserolis","septemcarinata","Septemoserolis1.jpg","Septemoserolis septemcarinata","None","David Barnes","None","Falkland Trough","*","Cristoph Held","*","*","*","*","*","*",,,,,,
"Serolella","pagenstecheri","Serolella1.jpg","Serolella pagenstecheri","None","David Barnes","None","Shag Rocks, Scotia arc","*","Cristoph Held","*","*","*","*","*","*",,,,,,
"Serolis ","cornuta","Serolis1.jpg","Serolis cornuta ","None","David Barnes","None","Signy I., Scotia arc","*","Cristoph Held","*","*","*","*","*","*",,,,,,
"Sexanymphon","mirabilis","Sexanymphon1.jpg","Sexanymphon mirabilis","None","David Barnes","None","Unknown","*","Tomas Munilla","*","*","*","*","*","*",,,,,,
"Stegocephalidae ","sp.","Stegocephalidae1.jpg","Stegocephalidae  sp.","None","BAS","None","Elephant I. (AP)","*","Anne-Nina Loerz","*","*","*","*","*","*",,,,,,
"Stenothoidae","sp.","Stenothoidae1.jpg","Stenothoidae sp.","None","Cath Waller","None","Ryder Bay (WAP)","*","Claude de Broyer","*","*","*","*","*","*",,,,,,
"Sphaeromatidae","sp.","Sphaeromatidae1.jpg","Sphaeromatidae sp.","None","David Barnes","None","Falkland Trough","*","Stephanie Kaiser","*","*","*","*","*","*",,,,,,
"Thymops","sp.","Thymops1.sp.jpg","Thymops sp.","None","BAS","None","South Goergia","*","Gustavo Lovrich","*","*","*","*","*","*",,,,,,
"Thymops","sp.","Thymops2.sp.jpg","Thymops sp.","None","BAS","None","South Goergia","*","Gustavo Lovrich","*","*","*","*","*","*",,,,,,
"Thymops","bernsteini","Thymops1.ber.jpg","Thymops bernsteini ","None","BAS","None","South Goergia","*","Gustavo Lovrich","*","*","*","*","*","*",,,,,,
"Waldeckia","obesa","*","*","*","*","None","*","Waldeckiatext.doc",,"Waldeckia1.txt","Waldeckia2.txt","Waldeckia3.txt","Waldeckia4.txt","Waldeckia5.txt","*",,,,,,
"Vaunthompsonia","inermis","Vaunthompsonia1.jpg","Vaunthompsonia inermis","None","*","None","Unknown","*","Ute Muehlenhardt-Siegel","*","*","*","*","*","*",,,,,,
"Vaunthompsonia","inermis","Vaunthompsonia2.jpg","Vaunthompsonia inermis","None","*","None","Unknown","*","Ute Muehlenhardt-Siegel","*","*","*","*","*","*",,,,,,
